Monday,Lunes,The first day of the week.,I have a meeting on Monday.,I will go to the gym on Monday.
Tuesday,Martes,The second day of the week.,We will go shopping on Tuesday.,My class is on Tuesday.
Wednesday,Miércoles,The third day of the week.,My birthday is on Wednesday.,I have a doctor's appointment on Wednesday.
Thursday,Jueves,The fourth day of the week.,I have a dentist appointment on Thursday.,We will have a meeting on Thursday.
Friday,Viernes,The fifth day of the week.,We will have a party on Friday.,I finish work early on Friday.
Saturday,Sábado,The sixth day of the week.,I like to relax on Saturday.,We go hiking on Saturday.
Sunday,Domingo,The seventh day of the week.,We go to church on Sunday.,I like to have a big family lunch on Sunday.
January,Enero,The first month of the year.,My birthday is in January.,We usually have snow in January.
February,Febrero,The second month of the year.,Valentine's Day is in February.,February is the shortest month.
March,Marzo,The third month of the year.,Spring begins in March.,My sister's wedding is in March.
April,Abril,The fourth month of the year.,April is known for its rain.,We celebrate Earth Day in April.
May,Mayo,The fifth month of the year.,May is a popular month for weddings.,Flowers bloom in May.
June,Junio,The sixth month of the year.,School ends in June.,We go on vacation in June.
July,Julio,The seventh month of the year.,Independence Day is in July.,We like to go to the beach in July.
August,Agosto,The eighth month of the year.,August is usually hot.,We have a family reunion in August.
September,Septiembre,The ninth month of the year.,School starts in September.,The leaves begin to change color in September.
October,Octubre,The tenth month of the year.,Halloween is in October.,The weather gets cooler in October.
November,Noviembre,The eleventh month of the year.,Thanksgiving is in November.,November is a time for reflection.
December,Diciembre,The twelfth month of the year.,Christmas is in December.,We celebrate New Year's Eve in December.
Spring,Primavera,The season between winter and summer.,We like to go for walks in spring.,Spring flowers bloom beautifully.
Summer,Verano,The warmest season of the year.,We go to the beach in summer.,Summer is my favorite season.
Autumn,Otoño,The season between summer and winter.,The leaves change color in autumn.,Fall is another word for autumn.
Winter,Invierno,The coldest season of the year.,It snows in winter.,We like to drink hot chocolate in winter.
Red,Rojo,The color of fire and blood.,She wore a red dress.,The apple is red.
Blue,Azul,The color of the sky and the ocean.,The sky is blue.,He has blue eyes.
Green,Verde,The color of grass and leaves.,The grass is green.,She has a green backpack.
Yellow,Amarillo,The color of the sun and bananas.,The sun is yellow.,I like yellow flowers.
Black,Negro,The color of darkness.,Black is often associated with elegance.,Many luxury cars are black.
