I,Yo,Personal pronoun used by the speaker to refer to themselves.,I am happy.,I like to read books.
You,Tú / Usted,Personal pronoun used to refer to the person being spoken to.,You are my friend.,Can you help me?
He,Él,Personal pronoun used to refer to a male individual.,He is my brother.,He likes to play soccer.
She,Ella,Personal pronoun used to refer to a female individual.,She is my sister.,She enjoys painting.
It,Eso / Él / Ella (para objetos o animales),"Personal pronoun used to refer to objects, animals, or concepts.",It is a sunny day.,The cat is cute; it is sleeping.
We,Nosotros / Nosotras,Personal pronoun used to refer to a group that includes the speaker.,We are going to the park.,We love music.
They,Ellos / Ellas,Personal pronoun used to refer to a group of people or things.,They are my friends.,They live in a big house.
Actor,Actor,"A person who performs in plays, movies, or television shows.",The actor won an award for his performance.,She wants to be an actor when she grows up.
Cage,Jaula,A structure made of bars or wires in which animals are kept.,The bird is in the cage.,He built a cage for his pet rabbit.
Spoon,Cuchara,A utensil used for eating or serving food.,I use a spoon to eat soup.,She stirred the coffee with a spoon.
Teacher,Maestro / Maestra,A person who educates students in a school or other educational setting.,The teacher explained the lesson clearly.,My teacher is very kind.
Student,Estudiante,"A person who is learning, especially in a school or college.",The student is studying for the exam.,She is a diligent student.
Vase,Jarrón,A decorative container used to hold flowers.,The vase is filled with fresh flowers.,She bought a beautiful vase for her living room.
Watch,Reloj,A small timepiece worn on the wrist or carried in a pocket.,He checks his watch to see the time.,She received a watch as a gift.
Ruler,Regla,A tool used for measuring length or drawing straight lines.,The student used a ruler to draw a straight line.,The teacher handed out rulers to the class.
Ring,Anillo,A circular band worn on the finger as jewelry or a symbol.,She wears a ring on her finger.,He gave her a ring as a gift.
Plate,Plato,A flat dish used for serving food.,The plate is full of delicious food.,She placed the cake on a decorative plate.
Orange,Naranja,"A round citrus fruit with a tough skin and sweet, juicy flesh.",I like to drink orange juice.,She peeled an orange for a snack.
Newspaper,Periódico,"A printed publication containing news, articles, and advertisements.",He reads the newspaper every morning.,The newspaper reported on the local event.
Mirror,Espejo,A reflective surface that shows an image of whatever is in front of it.,She looked at herself in the mirror.,The mirror is hanging on the wall.
Eraser,Borrador / Goma de borrar,A small object used to remove pencil marks from paper.,He used an eraser to fix his mistake.,The eraser is on the desk.
Example,Ejemplo,A specific instance or case used to illustrate a concept or idea.,The teacher gave an example to explain the lesson.,Can you provide an example of that?
Fork,Tenedor,A utensil with prongs used for eating or serving food.,She used a fork to eat her salad.,The fork is on the table next to the knife.
Glass,Vaso,A container used for drinking liquids.,He drank water from a glass.,The glass is on the kitchen counter.
Iron,Plancha,A device used to press clothes to remove wrinkles.,She used an iron to smooth her shirt.,"The iron is hot, be careful!"
Key,Llave,A small metal object used to open locks.,He used a key to unlock the door.,The key is hanging on the wall.
Cup,Taza,A small container used for drinking hot beverages.,She drank tea from a cup.,The cup is on the table.
Curtain,Cortina,A piece of fabric used to cover windows or separate spaces.,The curtain is drawn to block the sunlight.,She bought new curtains for the living room.
Dog,Perro,A domesticated carnivorous mammal often kept as a pet.,The dog is barking loudly.,She takes her dog for a walk every day.
Exercise,Ejercicio,An activity that requires physical effort to improve health and fitness.,He goes for a run as part of his exercise routine.,The teacher assigned an exercise for the students to complete.
Grammar,Gramática,The set of rules that govern the structure of sentences in a language.,The student is learning English grammar.,Good grammar is important for clear communication.
Number,Número,A mathematical value used for counting or measuring.,The number five comes after four.,She wrote the number on the board.
Statement,Declaración,A sentence that expresses an idea or fact.,The teacher made a statement about the homework.,His statement was clear and concise.
Following,Siguiente,Coming after or next in order.,"The following day, we went to the beach.",Please read the following instructions carefully.
Greetings,Saludos,Words or phrases used to acknowledge someone's presence or arrival.,"Common greetings include ""Hello"" and ""Good morning.""",She sent greetings to her friends in the letter.
Question,Pregunta,A sentence or phrase used to ask for information.,The student asked a question about the lesson.,Can you answer my question?
Pronoun,Pronombre,A word that takes the place of a noun in a sentence.,"""He"" is a pronoun used to refer to a male individual.",Pronouns help avoid repetition in sentences.
Subject,Sujeto,The person or thing that performs the action in a sentence.,"The subject of the sentence is ""The cat.""","In the sentence ""She runs fast,"" the subject is ""She."""
Married,Casado / Casada,The state of being legally united to a spouse.,They are married and have two children.,She got married last year.
Single,Soltero / Soltera,The state of not being married or in a romantic relationship.,He is single and enjoys his independence.,She has been single for a long time.
Plural,Plural,A grammatical form used to indicate more than one person or thing.,"The plural of ""cat"" is ""cats.""","In English, adding ""s"" often makes a noun plural."
Affirmative,Afirmativo,A statement that expresses agreement or confirmation.,The answer is affirmative; we will attend the meeting.,She gave an affirmative response to the invitation.
Negative,Negativo,A statement that expresses denial or refusal.,His answer was negative; he cannot come to the party.,She gave a negative response to the proposal.
Singular,Singular,A grammatical form used to indicate one person or thing.,"The singular form of ""dogs"" is ""dog.""","In English, nouns are singular when referring to one item."
